TCName,AppURL,UserId,Password,TranSactionType,TransactionAmount,TransactionCurrency,ConversionRate,CardNumber,TransferAmount,CurrencyName,ContactNumber,TransfererName,Memo,TransactionPassword,TransactionRemarks,AmountToTransferWalletToWallet,WalletTransferCurrecny,WalletNumberFromTransferMoney,WalletToAmountTransfer,WalletToWalletTransferSucessMsg,NoOfTransactionsCount,FromDate,ToDate,ReplacementResone,ReplaceConfirmMessage,BlockCardRemark,BlockConfirmationMsg,UnblockCardRemark,UnblockConfirmationMsg,WalletActivationRemark,WalletDeactivateRemark,WalletActivateConfirmMsg,WalletDeactivateConfirmMsg,eComActivationConfirmMsg,beneficiaryID,beneficiaryFirstName,beneficiaryMiddleName,beneficiaryLastName,beneficiaryAddressLine1,beneficiaryAddressLine2,beneficiaryAddressLine3,beneficiaryCountryName,beneficiaryStateName,beneficiaryCityName,beneficiaryZIPCode,beneficiaryEmailAddress,beneficiaryMobileNumber,beneficiaryRemittanceAamount,beneficiaryRemittanceCurrency,newPassword,CardHolderTransPassword,FirstSequrityQuestion,FirstSequrityAnswer,SecondSequrityQuestion,SecondSequrityAnswer
TC_walletToWalletTransfer,https://stage.sa.cardholder.mastercard.com/mpts/eis/app,12121218044000192,12121218044000192,Fund Transfer,10,USD,0.016000,5887659200346112,5,,9021723007,,,aBcd1234*,Wallet to wallet fund transfer,5,USD,1802131212120070068,1802131212120070067,Your transaction is successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_LoginCardholderPortal,https://stage.sa.cardholder.mastercard.com/mpts/eis/app,12121218044000192,12121218044000192,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_ViewChargeForFundTransfer,https://stage.sa.cardholder.mastercard.com/mpts/eis/app,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_masterCardMoneyTransfer,https://stage.sa.cardholder.mastercard.com/mpts/eis/app,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,10000117311000005,5000,USD,955689456,Tester,CMKO-45,aBcd1234*,"454564Done ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_checkInterbankTransfer,https://stage.sa.cardholder.mastercard.com/mpts/eis/app,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_viewTransactionHistoryForWallet,https://stage.sa.cardholder.mastercard.com/mpts/eis/app,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_deviceReplaceService,https://stage.sa.cardholder.mastercard.com/mpts/eis/app,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,Emergency Replacement,Request is forwarded to institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_deviceBlockFromCardHolder,https://stage.sa.cardholder.mastercard.com/mpts/eis/app,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,Emergency Replacement,Request is forwarded to institution,Card need to block as it is stolne,Device Blocked Call Reference Number,Block my card,Unblock Device process successful,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_deviceUnblockFromCardholder,https://stage.sa.cardholder.mastercard.com/mpts/eis/app,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,Emergency Replacement,Request is forwarded to institution,Card need to block as it is stolne,Device Blocked Call Reference Number,Block my card,Unblock Device process successful,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_walletActivateFromCardHolder,https://stage.sa.cardholder.mastercard.com/mpts/eis/app,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,Emergency Replacement,Request is forwarded to institution,Card need to block as it is stolne,Device Blocked Call Reference Number,Block my card,Unblock Device process successful,"Activate Wallet ",,Request has been processed successfully with reference number,Request has been processed successfully with reference number,,,,,,,,,,,,,,,,,,,,,,
TC_walletDeActivateFromCardHolder,https://stage.sa.cardholder.mastercard.com/mpts/eis/app,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,Emergency Replacement,Request is forwarded to institution,Card need to block as it is stolne,Device Blocked Call Reference Number,Block my card,Unblock Device process successful,,Deactivate Wallet,Request has been processed successfully with reference number,Request has been processed successfully with reference number,,,,,,,,,,,,,,,,,,,,,,
TC_activateEcomForLifeLong,https://stage.sa.cardholder.mastercard.com/mpts/eis/app,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,Emergency Replacement,Request is forwarded to institution,Card need to block as it is stolne,Device Blocked Call Reference Number,Block my card,Unblock Device process successful,,Deactivate Wallet,Request has been processed successfully with reference number,Request has been processed successfully with reference number,DEVICE is already activated for life long use,,,,,,,,,,,,,,,,,,,,,
