TCName,AppURL,UserId,Password,InstitutionName,PresentTimeLimit,ApplicationType,ApplicationSubType,BatchType,CustomerType,Program,DeviceType,DevicePlan,Title,FirstName,MiddleName1,MiddleName2,LastName,Gender,Nationality,YearBirth,MaritalStatus,AccountNumber,AccountType,PreferredLang,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Country,Embosscode,EmbossDesc,EmbossFileType,sequenceNo,EmbossingField,EmbossTempField,LegalType,Priority,embossPriorityPassDesc,ProductType,QuantityType,embossPriorityInterchange,embossPriority,VendorCode,VendorName,EmbossingVendor,VendorCategory,embossingFileTempName,PINFileTempName,addressLine1,addressLine2,country,postalCode,contactPrsn,phnNumber,vendorMobileNo1,vendorMobileNo2,email,ProgramCode,ProgramDesc,InterchangeType,ProgramTypeProgram,ProgramType,BaseCurrency,CurrencyConversionBy,CalendarStartMonth,MaximumBalancewithoutKYC,LoadsWithoutKYC,DevicePlanForProgram,FromDeviceNo,ToDeviceNo,StatusValue,DevicePlanCodeText,DevicePlanDesc,DevicePlanAssociation,ServiceCode,DeliveryMode,ExpiryFlag,ExpiryDate,CutOverEffectiveDate,BatchNumber,DMSIssuerBIN,SMSIssuerBIN,PlanType,FloorAmount,WaiveCycle,Fee,CeilingAmount,BINType,WalletplanUsage,PerTransactionLimit,TotalTransactionLimit,Velocity,Validity,Endpoint,Remark,DeviceIdGenerationTemplate,CustomCode,EndDate,ToLot,PrintDay,StartMonthForYearlyLimits,TransactionType,Field1,Length1,Field2,Length2,Field3,Length3,Field4,Length4,Field5,Length5,Field6,Length6,iPKExpiryDate
TC264306_Embossing File Generation,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,455854,8520,ONUS [088150],50,Primary Device [P],New Client [N],New [N],Individual [0],,Magnetic Stripe Card [1],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],111,AUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,Debit [D],12,Rupay [06],2,Aut011,HDFCVendor01,HDFCVendor01 [Aut011],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,MagneticStripProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],12,26,,,,Active [1],,Magnetic strip Device plan,Rupay [06],2,Mail [2],Fixed [F],12-2019,March/1/2018,,,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,March/10/2020,5,12,Jan [01],Cash Withdrawal [04],BIN,6,Custom Code,2,Branch,1,Product Currency,3,Sequence Number,3,,,March/10/2050
TC264315_Embossing File Generation,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,455854,8520,ONUS [088150],50,Primary Device [P],New Client [N],New [N],Individual [0],,EMV Card [2],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],222,AUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,Debit [D],12,Rupay [06],2,Aut012,HDFCVendor02,HDFCVendor02 [Aut012],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,EmvProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],12,26,,1E+12,1E+12,Active [1],,Emv Device plan,Rupay [06],2,Mail [2],Fixed [F],12-2019,,,,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,,,,,,,,,,,,,
TC264318_Embossing File Generation,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,455854,8520,ONUS [088150],50,Primary Device [P],New Client [N],New [N],Individual [0],,Physical NFC Device - Mag Stripe Paypass [3],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],333,AUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,Debit [D],12,Rupay [06],2,Aut013,HDFCVendor03,HDFCVendor03 [Aut013],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,NFCMagneticProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],12,26,,1E+12,1E+12,Active [1],,NFC Mag strip Device plan,Rupay [06],2,Mail [2],Fixed [F],12-2019,,,,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,,,,,,,,,,,,,
TC264319_Embossing File Generation,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,455854,8520,ONUS [088150],50,Primary Device [P],New Client [N],New [N],Individual [0],,Physical NFC Device - EMV Paypass [4],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],444,AUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,Debit [D],12,Rupay [06],2,Aut014,HDFCVendor04,HDFCVendor04 [Aut014],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,NFCEmvProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],12,26,,1E+12,1E+12,Active [1],,NFC Emv Device plan,Rupay [06],2,Mail [2],Fixed [F],12-2019,,,,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,,,,,,,,,,,,,
TC264321_Embossing File Generation,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,Rohan,8520,FEMAVG [616161],50,Primary Device [P],New Client [N],New [N],Individual [0],,Physical NFC Device - Paypass [5],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],555,AUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,Debit [D],12,Rupay [06],2,Aut015,HDFCVendor05,HDFCVendor05 [Aut015],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,NFCDeviceProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],12,26,,1E+12,1E+12,Active [1],,NFC Device Device plan,Rupay [06],2,Mail [2],Fixed [F],12-2019,,,,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,,,,,,,,,,,,,
TC264326_Embossing File Generation,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,455854,8520,ONUS [088150],50,Primary Device [P],New Client [N],New [N],Individual [0],,Static Virtual Card [7],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],666,AUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,Debit [D],12,Rupay [06],2,Aut016,HDFCVendor06,HDFCVendor06 [Aut016],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,StaticVirtualDeviceProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],12,26,,1E+12,1E+12,Active [1],,Static Virtual card Device plan,Rupay [06],2,Mail [2],Fixed [F],12-2019,,,155074,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,,,,,,,,,,,,,
TC264329_Embossing File Generation,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,455854,8520,ONUS [088150],50,Primary Device [P],New Client [N],New [N],Individual [0],,Limited Validity Virtual Card [8],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],777,AUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,Debit [D],12,Rupay [06],2,Aut017,HDFCVendor07,HDFCVendor07 [Aut017],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,LimitedValidityVirtualDeviceProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],12,26,,1E+12,1E+12,Active [1],,Limited Validity Virtual Card Device plan,Rupay [06],2,Mail [2],Fixed [F],12-2019,,,155074,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rupay Debit,100,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rupay Debit,100,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rupay Debit,100,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
