TCName,AppURL,UserId,Password,TranSactionType,TransactionAmount,TransactionCurrency,ConversionRate,CardNumber,TransferAmount,CurrencyName,ContactNumber,TransfererName,Memo,TransactionPassword,TransactionRemarks,AmountToTransferWalletToWallet,WalletTransferCurrecny,WalletNumberFromTransferMoney,WalletToAmountTransfer,WalletToWalletTransferSucessMsg,NoOfTransactionsCount,FromDate,ToDate,ReplacementResone,ReplaceConfirmMessage,BlockCardRemark,BlockConfirmationMsg,UnblockCardRemark,UnblockConfirmationMsg,WalletActivationRemark,WalletDeactivateRemark,WalletActivateConfirmMsg,WalletDeactivateConfirmMsg,eComActivationConfirmMsg,beneficiaryID,beneficiaryFirstName,beneficiaryMiddleName,beneficiaryLastName,beneficiaryAddressLine1,beneficiaryAddressLine2,beneficiaryAddressLine3,beneficiaryCountryName,beneficiaryStateName,beneficiaryCityName,beneficiaryZIPCode,beneficiaryEmailAddress,beneficiaryMobileNumber,beneficiaryRemittanceAamount,beneficiaryRemittanceCurrency,newPassword,CardHolderTransPassword,FirstSequrityQuestion,FirstSequrityAnswer,SecondSequrityQuestion,SecondSequrityAnswer
TC_walletToWalletTransfer,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218044000192,12121218044000192,Fund Transfer,10,USD,0.016000,5887659200346112,5,,9021723007,,,aBcd1234*,Wallet to wallet fund transfer,5,USD,1802131212120070068,1802131212120070067,Your transaction is successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_LoginCardholderPortal,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218044000192,12121218044000192,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_ViewChargeForFundTransfer,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_masterCardMoneyTransfer,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,10000117311000005,5000,USD,955689456,Tester,CMKO-45,aBcd1234*,"454564Done ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_checkInterbankTransfer,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_viewTransactionHistoryForWallet,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_deviceReplaceService,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,Emergency Replacement,Request is forwarded to institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_deviceBlockFromCardHolder,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,Emergency Replacement,Request is forwarded to institution,Card need to block as it is stolne,Device Blocked Call Reference Number,Block my card,Unblock Device process successful,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_deviceUnblockFromCardholder,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,Emergency Replacement,Request is forwarded to institution,Card need to block as it is stolne,Device Blocked Call Reference Number,Block my card,Unblock Device process successful,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_walletActivateFromCardHolder,http://ech-10-168-129-105.mastercard.int:25003/integratedIssuing-cardholderPortal/WebPages/Login.jsp,12121218036000463,12121218036000463,Fund Transfer,5,USD,0.016000,,,,,,,,,,,,,,10,05/10/2017,31/10/2017,Emergency Replacement,Request is forwarded to institution,Card need to block as it is stolne,Device Blocked Call Reference Number,Block my card,Unblock Device process successful,"Activate Wallet ",,Request has been processed successfully with reference number,Request has been processed successfully with reference number,,,,,,,,,,,,,,,,,,,,,,
