TCName,AppURL,UserId,Password,InstitutionName,Padding,Debit,Credit,Prepaid,Institution Currency,Agent Portal Support,Collect Portal Support,Account Length Validation,Reference Currency,Client Length Validation,RSA Support,Financial Start Month,Default Language,Time Zone,Domestic Postal Code mandatory,Account Number Length,Client Number Length,SDN Plan,Adaptive Authentication,MPIN Enabled,SMS Service Provider,Customer Care Contact Numbers,Email Id,Customer Care Fax,Contact Name,Mobile No Country Code,Mobile No,Phone No,Email ID,Address Line1,Address Line2,Address Line3,Address Line4,Country,Area_City,Postal Code,NewUserId,NewUserName,Role,LanguagePreference,TimeZone,Login Allowed From,Login Allowed Till,EmailId,CountryCode,MobileNumber,UserAccountExpiryDate,ConcurrentLoginAllowed,MaximumConcurrentUser,Message,CollectPortalAdminName,AgentPortalAdminName,CreatedInstitution,CreatedUser,ASC_Vendor,MPIN,SmsProvider,ExistingInstitutionCode,CustCareSTD,CustCareIntl,CustCareVIP,Account Code,Account Head,Status,Interchange,Program,Description,AccountNumber,ReportCode,Transaction Code,CER_SEQUENCE,Rate Origin,Source Currency,Destination Currency,BUY_RATE,MID_RATE,SELL_RATE,Date Create,Effective Date & Time,INSTITUTION_CODE,Transaction Source,Transaction Type,Rate Type,RateTypeValues,Username,UPLOAD_PATH_CER,ChecksumSupport,GenerateAckReport,BaseCurrency,PresentTimeLimit,EventProductType,EmailRecipients,SMSRecipients,LetterRecipients,Language,EmailMessageBody,EmailSubjectBody,SMSMessageBody,INTERCHANGE
TCInstituteCreationPR,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,Auto001,8520,PREISS,0,No,No,Check,INR [356],Check,No,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,ISSUINGXH,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURRENCY_EXCHANGE_RATE,uncheck,uncheck,INR [356],50,Prepaid [P],Client,Client,Client,ENGLISH [EN],EmailMessageBody,EmailSubjectBody,SMSMessageBody,MASTERCARD [02]
TCInstituteCreationDC,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,Auto001,8520,DEBISS,6,Check,No,No,INR [356],No,No,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,,,,,,,"USA,CAN [+1]",232527,232527,7O,Account Head 30,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURRENCY_EXCHANGE_RATE,uncheck,uncheck,INR [356],50,Prepaid [P],Client,Client,Client,ENGLISH [EN],EmailMessageBody,EmailSubjectBody,SMSMessageBody,MASTERCARD [02]
TCInstituteCreationCR,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,Auto001,8520,CREISS,6,No,Check,No,INR [356],No,Check,No,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,,,,,,,"USA,CAN [+1]",232527,232527,7O,Account Head 30,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURRENCY_EXCHANGE_RATE,uncheck,uncheck,INR [356],50,Prepaid [P],Client,Client,Client,ENGLISH [EN],EmailMessageBody,EmailSubjectBody,SMSMessageBody,MASTERCARD [02]
TCInstituteCreationDCPR,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,Auto001,8520,DEBPRE,6,Check,No,Check,INR [356],Check,No,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,DEBPREXF,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURRENCY_EXCHANGE_RATE,uncheck,uncheck,INR [356],50,Prepaid [P],Client,Client,Client,ENGLISH [EN],EmailMessageBody,EmailSubjectBody,SMSMessageBody,MASTERCARD [02]
TCInstituteCreationPRCR,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,Auto001,8520,PRECRE,6,No,Check,Check,INR [356],Check,Check,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,ISSUINGXH,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURRENCY_EXCHANGE_RATE,uncheck,uncheck,INR [356],50,Prepaid [P],Client,Client,Client,ENGLISH [EN],EmailMessageBody,EmailSubjectBody,SMSMessageBody,MASTERCARD [02]
TCInstituteCreationDTCR,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,Auto001,8520,AMEXCREDIT,6,Check,Check,No,INR [356],No,Check,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,ISSUINGXH,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURRENCY_EXCHANGE_RATE,uncheck,uncheck,INR [356],50,Prepaid [P],Client,Client,Client,ENGLISH [EN],EmailMessageBody,EmailSubjectBody,SMSMessageBody,MASTERCARD [02]
TCInstituteCreationAll,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,Auto001,8520,AMEXBLACKE,6,Check,Check,Check,OMR [512],Check,Check,Check,OMR [512],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],91111111111,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2020,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,BLACKEYE,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURRENCY_EXCHANGE_RATE,uncheck,uncheck,INR [356],50,Prepaid [P],Client,Client,Client,ENGLISH [EN],EmailMessageBody,EmailSubjectBody,SMSMessageBody,MASTERCARD [02]
TCInstituteCreationDCWithoutAgentPortal,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,Auto001,8520,PREWOAGNT,6,Check,No,No,INR [356],No,No,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURRENCY_EXCHANGE_RATE,uncheck,uncheck,INR [356],50,Prepaid [P],Client,Client,Client,ENGLISH [EN],EmailMessageBody,EmailSubjectBody,SMSMessageBody,MASTERCARD [02]
TCInstituteCreationCRWithoutCollectPortal,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,Auto001,8520,CREWOCOLL,6,No,Check,No,INR [356],No,No,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURRENCY_EXCHANGE_RATE,uncheck,uncheck,INR [356],50,Prepaid [P],Client,Client,Client,ENGLISH [EN],EmailMessageBody,EmailSubjectBody,SMSMessageBody,MASTERCARD [02]
TCInstituteCreationAllWithoutAgentCollect,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mtps/app/Login?0,Auto001,8520,ALLWOAGCO,6,Check,Check,Check,INR [356],No,No,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,ISSUINGXH,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURRENCY_EXCHANGE_RATE,uncheck,uncheck,INR [356],50,Prepaid [P],Client,Client,Client,ENGLISH [EN],EmailMessageBody,EmailSubjectBody,SMSMessageBody,MASTERCARD [02]
