TCName,AppURL,UserId,Password,InstitutionName,PresentTimeLimit,ProductType,ApplicationType,ApplicationSubType,BatchType,CustomerType,Program,DeviceType,DevicePlan,Title,FirstName,MiddleName1,MiddleName2,LastName,Gender,Nationality,YearBirth,MaritalStatus,AccountNumber,AccountType,PreferredLang,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Country,Embosscode,EmbossDesc,EmbossFileType,sequenceNo,EmbossingField,EmbossTempField,LegalType,Priority,embossPriorityPassDesc,QuantityType,embossPriorityInterchange,embossPriority,VendorCode,VendorName,EmbossingVendor,VendorCategory,embossingFileTempName,PINFileTempName,addressLine1,addressLine2,country,postalCode,contactPrsn,phnNumber,vendorMobileNo1,vendorMobileNo2,email,ProgramCode,ProgramDesc,InterchangeType,ProgramTypeProgram,ProgramType,BaseCurrency,CurrencyConversionBy,CalendarStartMonth,MaximumBalancewithoutKYC,LoadsWithoutKYC,DevicePlanForProgram,FromDeviceNo,ToDeviceNo,StatusValue,DevicePlanCodeText,DevicePlanDesc,DevicePlanAssociation,ServiceCode,DeliveryMode,ExpiryFlag,ExpiryDate,CutOverEffectiveDate,BatchNumber,DMSIssuerBIN,SMSIssuerBIN,PlanType,FloorAmount,WaiveCycle,Fee,CeilingAmount,BINType,WalletPlancode,WalletPlanDescription,WalletplanUsage,PerTransactionLimit,TotalTransactionLimit,Velocity,Validity,Endpoint,Remark,DeviceIdGenerationTemplate,CustomCode,EndDate,ToLot,PrintDay,StartMonthForYearlyLimits,TransactionType,Field1,Length1,Field2,Length2,Field3,Length3,Field4,Length4,iPKExpiryDate,GeneralisationMethod,PINlength,PVVOffset,PVKOffset,PINValidationData,PINVerificationKey,PINVerificationKeyCheck,CVVOffsetOnTrack,ComponentType,CVKACryptogram,CVKAKeyCheck,CVKBCryptogram,CVKBKeyCheck,CVV3Cryptogram,CVV3KeyCheckvalue,ATCOffsetOnTrack,UNOffsetOnTrack,CVC3OffsetOnTrack,NetworkInterface,KeyType,NetworkCryptogram,NetworkCryptogramCheckValue,MDKEncryptedUnderLMK,MDKKeyCheckValue,SMIEncryptedUnderLMKTxt,SMIKeyCheckvalues,SMCEncryptedUnderLMKTxt,SMCKeyCheckvalue,MDKKeyType,MDKInterchangeType,MDKStatus,InstitutionLoadCurrency,AccountRangeFrom,AccountRangeTo,currencyCodeTxt,monthlyLimitTxt,monthlyVelocityTxt,yearlyLimitTxt,yearlyVelocityTxt,comparisonOperator,ruleCode,ruleValue,APILInkingUserID
TC264306_Embossing File Generation,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mpts/app/Login?0,Auto001,8520,AUTO [121212],50,Debit [D],Primary Device [P],New Client [N],New [N],Individual [0],,Magnetic Stripe Card [1],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],EMBF6000,INAUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,12,Rupay [06],2,VEN6000,HDFCVendor,HDFCVendor01 [VEN6000],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,MagneticStripProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],12,2,,,,Active [1],,Magnetic strip Device plan,Rupay [06],100,Mail [2],Fixed [F],12-2019,June/1/2018,,588765,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],,,Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,March/10/2020,5,12,Jan [01],Cash Withdrawal [04],BIN,6,Sequence number,9,Program Code,6,Product Currency,3,March/10/2050,IBM Method [3],04,10,15,1234567890123456,181CFD03C3F7385FCA36BF63DDD4BD01,829DD2,11,1-Single Component [1],4A43436017024880,0EBBE7,B4638CBCEC1E6E52,985BDD,7B634E89DB88BBD9BB33C702FD1C9151,123456,1,1,1,MasterCard(CIS) [03],ZMK [6],80F5706D510BF6F7D54D6DA3053CAB8A,2A7944,E60699F5B9ADE145FF6B0281D6FF7A71,2BC1FE,3B84D3C46E096114BF1A505A548A88AE,55AF3C,6B9D441DA33CF04F687C085A0CD9D8F8,9855B6,MDK Key [00],,,INR:USD:LKR,525252523612345,525252523692345,USD,100000000,0000,100000000000000000000000,10000000000000000000,= [=],Gender,Male,121212
TC264306_Embossing File Generation_VISA,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mpts/app/Login?0,Auto001,8520,AUTO [121212],50,Debit [D],Primary Device [P],New Client [N],New [N],Individual [0],,Magnetic Stripe Card [1],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],EMBF6000,INAUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,12,Rupay [06],2,VEN6000,HDFCVendor,HDFCVendor01 [VEN6000],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,MagneticStripProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],12,2,,,,Active [1],,Magnetic strip Device plan,Rupay [06],100,Mail [2],Fixed [F],12-2019,June/1/2019,,552200,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],,,Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,BIN,6,Custom Code,2,Branch,1,Product Currency,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC264315_Embossing File Generation,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mpts/app/Login?0,Auto001,8520,AUTO [121212],50,Debit [D],Primary Device [P],New Client [N],New [N],Individual [0],,EMV Card [2],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],EMBF6000,INAUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,12,Rupay [06],2,VEN6000,HDFCVendor,HDFCVendor01 [VEN6000],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,EmvProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],12,2,,,,Active [1],,Emv Device plan,Rupay [06],200,Mail [2],Fixed [F],12-2019,June/1/2020,,588765,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],,,Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC264315_Embossing File Generation_VISA,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mpts/app/Login?0,Auto001,8520,AUTO [121212],50,Debit [D],Primary Device [P],New Client [N],New [N],Individual [0],,EMV Card [2],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],EMBF6000,INAUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,12,Rupay [06],2,VEN6000,HDFCVendor,HDFCVendor01 [VEN6000],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,EmvProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],12,2,,,,Active [1],,Emv Device plan,Rupay [06],200,Mail [2],Fixed [F],12-2019,June/1/2021,,552200,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],,,Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC264318_Embossing File Generation,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mpts/app/Login?0,Auto001,8520,AUTO [121212],50,Debit [D],Primary Device [P],New Client [N],New [N],Individual [0],,Physical NFC Device - Mag Stripe Paypass [3],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],EMBF6000,INAUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,12,Rupay [06],2,VEN6000,HDFCVendor,HDFCVendor01 [VEN6000],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,NFCMagneticProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],12,2,,,,Active [1],,NFC Mag strip Device plan,Rupay [06],100,Mail [2],Fixed [F],12-2019,June/1/2022,,588765,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],,,Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC264318_Embossing File Generation_VISA,http://ech-10-168-131-92.mastercard.int:25003/integratedIssuing-customerPortal/mpts/app/Login?0,Auto001,8520,AUTO [121212],50,Debit [D],Primary Device [P],New Client [N],New [N],Individual [0],,Physical NFC Device - Mag Stripe Paypass [3],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],EMBF6000,INAUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,12,Rupay [06],2,VEN6000,HDFCVendor,HDFCVendor01 [VEN6000],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,NFCMagneticProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],12,2,,,,Active [1],,NFC Mag strip Device plan,Rupay [06],100,Mail [2],Fixed [F],12-2019,June/1/2023,,552200,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],,,Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC264319_Embossing File Generation,http://ech-10-168-128-210.mastercard.int:25003/integratedIssuing-customerPortal/mpts/app/Login?0,Auto001,8520,AUTO [121212],50,Debit [D],Primary Device [P],New Client [N],New [N],Individual [0],,Physical NFC Device - EMV Paypass [4],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],EMBF6000,AUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,12,Rupay [06],2,VEN6000,HDFCVendor04,HDFCVendor01 [VEN6000],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,NFCEmvProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],26,,,,,Active [1],,NFC Emv Device plan,Rupay [06],2,Mail [2],Fixed [F],12-2019,June/1/2024,,588765,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],,,Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC264319_Embossing File Generation_VISA,http://ech-10-168-128-210.mastercard.int:25003/integratedIssuing-customerPortal/mpts/app/Login?0,Auto001,8520,AUTO [121212],50,Debit [D],Primary Device [P],New Client [N],New [N],Individual [0],,Physical NFC Device - EMV Paypass [4],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],EMBF6000,AUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,12,Rupay [06],2,VEN6000,HDFCVendor04,HDFCVendor01 [VEN6000],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,NFCEmvProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],26,,,,,Active [1],,NFC Emv Device plan,Rupay [06],2,Mail [2],Fixed [F],12-2019,June/1/2025,,552200,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],,,Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC264321_Embossing File Generation,http://ech-10-168-128-210.mastercard.int:25003/integratedIssuing-customerPortal/mpts/app/Login?0,Auto001,8520,AUTO [121212],50,Debit [D],Primary Device [P],New Client [N],New [N],Individual [0],,Physical NFC Device - Paypass [5],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],EMBF6000,AUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,12,Rupay [06],2,VEN6000,HDFCVendor05,HDFCVendor01 [VEN6000],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,NFCDeviceProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],26,,,,,Active [1],,NFC Device Device plan,Rupay [06],2,Mail [2],Fixed [F],12-2019,June/1/2026,,588765,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],,,Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC264321_Embossing File Generation_VISA,http://ech-10-168-128-210.mastercard.int:25003/integratedIssuing-customerPortal/mpts/app/Login?0,Auto001,8520,AUTO [121212],50,Debit [D],Primary Device [P],New Client [N],New [N],Individual [0],,Physical NFC Device - Paypass [5],,Miss,PRIYA,Middle1,Middle2,RAY,Female [F],INDIA [356],1989,Single [0],12345678,Saving Account [10],English [en],Pune,Kothrud,Lane4,Maharashtra,INDIA [356],EMBF6000,AUTOEmboss,Embossing File Template [E],1,CARD NUMBER [DEVICE_NUMBER],CARD NUMBER [DEVICE_NUMBER],Passport [01],1,HDFC Credit Corp Credit Embossing file,12,Rupay [06],2,VEN6000,HDFCVendor05,HDFCVendor01 [VEN6000],Personalization Bureau [3],,PIN offset temp [PIN01],Pune,Pune,INDIA [356],411006,amit,12345678,IND [+91],12345678,amit@gmail.com,,NFCDeviceProgram,Rupay [06],Retail Debit Card [11],Corporate Gift Card [7],INR [356],Interchange [I],Jan [01],26,,,,,Active [1],,NFC Device Device plan,Rupay [06],2,Mail [2],Fixed [F],12-2019,June/1/2027,,552200,,Device Plan/Wallet Plan [1],10000,12,5000,20000,Dual Message Type [D],,,Open Loop [O],10000,50000,12,120345,"Host [H] ",Rupay Debit,Device Template Desc [PAN099],100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
