TCName,AppURL,UserId,Password,Padding,Abbrevation,InstitutionName,Debit,Credit,Prepaid,Institution Currency,Agent Portal Support,Collect Portal Support,Account Length Validation,Reference Currency,Client Length Validation,RSA Support,Financial Start Month,Default Language,Time Zone,Domestic Postal Code mandatory,Account Number Length,Client Number Length,SDN Plan,AdaptiveEcomm,MPIN Enabled,SMS Service Provider,Customer Care Contact Numbers,Email Id,Customer Care Fax,Contact Name,Mobile No Country Code,Mobile No,Phone No,Email ID,Address Line1,Address Line2,Address Line3,Address Line4,Country,Area_City,Postal Code,NewUserId,NewUserName,Role,LanguagePreference,TimeZone,Login Allowed From,Login Allowed Till,EmailId,CountryCode,MobileNumber,UserAccountExpiryDate,ConcurrentLoginAllowed,MaximumConcurrentUser,Message,CollectPortalAdminName,AgentPortalAdminName,CreatedInstitution,CreatedUser,ASC_Vendor,MPIN,SmsProvider,ExistingInstitutionCode,CustCareSTD,CustCareIntl,CustCareVIP,Account Code,Account Head,Status,Interchange,Program,Description,AccountNumber,ReportCode,Transaction Code,CER_SEQUENCE,Rate Origin,Source Currency,Destination Currency,BUY_RATE,MID_RATE,SELL_RATE,Date Create,Effective Date & Time,INSTITUTION_CODE,Transaction Source,Transaction Type,Rate Type,RateTypeValues,Username,UPLOAD_PATH_CER,ChecksumSupport,GenerateAckReport,BaseCurrency,PresentTimeLimit
TCInstituteCreationPR,https://stage.sa.eis.customer.mastercard.com/mpts/eis/app,Truptii,8520,6,PREISS,PREISS,No,No,Check,INR [356],Check,No,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,ISSUINGXH,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURR_EXCHANGE_UPLOAD,uncheck,uncheck,INR [356],50
TCInstituteCreationDC,https://stage.sa.eis.customer.mastercard.com/mpts/eis/app,Truptii,8520,6,DEBISS,DEBISS,Check,No,No,INR [356],No,No,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,,,,,,,"USA,CAN [+1]",232527,232527,7O,Account Head 30,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURR_EXCHANGE_UPLOAD,uncheck,uncheck,INR [356],50
TCInstituteCreationCR,https://stage.sa.eis.customer.mastercard.com/mpts/eis/app,Truptii,8520,6,CREISS,CREISS,No,Check,No,INR [356],No,Check,No,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,,,,,,,"USA,CAN [+1]",232527,232527,7O,Account Head 30,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURR_EXCHANGE_UPLOAD,uncheck,uncheck,INR [356],50
TCInstituteCreationDCPR,https://stage.sa.eis.customer.mastercard.com/mpts/eis/app,Truptii,8520,6,DEBPRE,DEBPRE,Check,No,Check,INR [356],Check,No,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,DEBPREXF,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURR_EXCHANGE_UPLOAD,uncheck,uncheck,INR [356],50
TCInstituteCreationPRCR,https://stage.sa.eis.customer.mastercard.com/mpts/eis/app,Truptii,8520,6,PRECRE,PRECRE,No,Check,Check,INR [356],Check,Check,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,ISSUINGXH,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURR_EXCHANGE_UPLOAD,uncheck,uncheck,INR [356],50
TCInstituteCreationDTCR,https://stage.sa.eis.customer.mastercard.com/mpts/eis/app,Truptii,8520,6,AMEXCREDIT,AMEXCREDIT,Check,Check,No,INR [356],No,Check,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,ISSUINGXH,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURR_EXCHANGE_UPLOAD,uncheck,uncheck,INR [356],50
TCInstituteCreationAll,https://stage.sa.eis.customer.mastercard.com/mpts/eis/app,Truptii,8520,6,AMEXBLACKE,AMEXBLACKE,Check,Check,Check,OMR [512],Check,Check,Check,OMR [512],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],91111111111,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2020,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,BLACKEYE,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURR_EXCHANGE_UPLOAD,uncheck,uncheck,INR [356],50
TCInstituteCreationDCWithoutAgentPortal,https://stage.sa.eis.customer.mastercard.com/mpts/eis/app,Truptii,8520,6,PREWOAGNT,PREWOAGNT,Check,No,No,INR [356],No,No,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURR_EXCHANGE_UPLOAD,uncheck,uncheck,INR [356],50
TCInstituteCreationCRWithoutCollectPortal,https://stage.sa.eis.customer.mastercard.com/mpts/eis/app,Truptii,8520,6,CREWOCOLL,CREWOCOLL,No,Check,No,INR [356],No,No,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURR_EXCHANGE_UPLOAD,uncheck,uncheck,INR [356],50
TCInstituteCreationAllWithoutAgentCollect,https://stage.sa.eis.customer.mastercard.com/mpts/eis/app,Truptii,8520,6,ALLWOAGCO,ALLWOAGCO,Check,Check,Check,INR [356],No,No,Check,INR [356],Check,Check,Jan [01],English [en],Asia/Calcutta,Check,16,16,SDN Name Address [SDN1],RSA [001],Check,Check,1100440052,auto12@mail.com,45665456,Automation,IND [+91],1113332,23564589,auto@mail.com,Business Bay,Yerwada,Business Bay,Yerwada,INDIA [356],PUNE [PNQ],411006,124421,user,Batch [ROLE000052],English [EN],GMT,,,testuser124421@gmail.com,IND [+91],5431267812,July/2/2018,Yes [Y],999,Record Added Successfully.,CollectAdm,Agentadm,ISSUINGXH,,,,,,"USA,CAN [+1]",232527,232527,7O,New Account Head 99,Active [A],MASTERCARD [02],-,Account Master,7777777777,R6677,,00,Bank [B],INR [356],THB [764],0.50,0.52,0.54,,,121212,System [S],Balance Refund [32],Buy,Buy,,/home/dc-user/integrated/elt_bo/data/CURR_EXCHANGE_UPLOAD,uncheck,uncheck,INR [356],50
